id,qid1,qid2,question1,question2,is_duplicate
1764,3510,3511,Should I take Sydenham this year or try for JB next year with 99.83 in CET 2016?,"I have 2.5 yrs exp in IT,plan to give CET next year, target-JBIMS-MMS. Does JBIMS select candidates with >3 years of exp?",0
1765,3512,3513,Can most young people in Spain communicate in English fluently?,Can most young people in Italy communicate in English fluently?,0
1766,3514,3515,How reliable are Mensa I.Q. tests and what kind of intelligence do they measure?,How do you know if you are really intelligent?,0
1767,3516,3517,Which song is played in the TVF tripling episode 3 at mid night?,Which song is played in the end of TVF tripling episode 5?,0
1768,3518,3519,How can the formula for volume of liquid be determined?,How is the formula for residual volume determined?,0
1769,3520,3521,How do I deal with common embarrassment?,How do I deal with my embarrassment?,1
1770,3522,3523,How do I watch torrent videos while it is being downloaded?,"What is the difference in quality between: BD, HD, 720p and 1080p?",0
1771,3524,3525,How can I get butts like these guys shown below?,"How do I get a bigger butt, naturally?",0
1772,3526,3527,Can anybodt tell cost of installation for Automatic dependent Surveillance- Contract) ADS-C flight tracking systems?,Allen motorhead books PDF how I can download?,0
1773,3528,3529,"What is the difference between evga gtx 1080, asus gtx 1080, msi gtx 1080?",Why should my dad spend all his salary for my sister in law and her kid?,0
1774,3530,3531,How do I improve the writings on Quora?,How can I improve my writing on Quora?,0
1775,3532,3533,How does the inside of a vagina feel?,How does an aroused vagina feel like?,0
1776,3534,3535,To Men: Do men still hand out their number and ask you to call them? Old school chivalry or obvious player?,"For men: what do you think about ""boys don't cry and ""men don't show their emotions""?",0
1777,3536,3537,Which is better Bangladesh or China in medical studies?,How do I prepare for class 10 case boards? And which is a better option for studies in future? Engineering law or medical?,0
1778,3538,3539,"In the U.S., which is the most respectful term: cleaning lady, housekeeper or maid?","Is it ""a U.S company"" or ""an U.S company?",0
1779,3540,3541,What can I do right now to help the people of Aleppo?,What can I do to help the situation in Aleppo?,1
1780,3542,3543,How much does investment banker earns?,How much do investment bankers make?,1
1781,877,3544,What are your views on ban of 500 and 1000 rupee notes in India?,What will be the result of banning 500 and 1000 rupees note in India?,1
1782,3545,3546,Which is a good inpatient drug and alcohol rehab center near Lawrence County AL?,What is a good inpatient drug and alcohol rehab center near Geneva County AL?,0
1783,3547,3548,Do you think Hillary Clinton’s pneumonia will affect the election?,How seriously will Hillary Clinton's early departure from a 9/11 ceremony affect her campaign?,0
1784,3549,3550,"Can a family live on $120,000 yearly in New York City?","Can a family live comfortable on $150,000 a year in New York City?",0
1785,3551,3552,How can I get text records from metro pcs account?,How can I get my old call history and text messages from metro pcs?,1
1786,3553,3554,Was Donald Trump right to speak out against the mainstream media in his first press conference?,Did Donald Trump have a bobby pin holding back his hair during his press conference in Mexico?,0
1787,3555,3556,"How do you think Federer, Nadal, Djokovic, Murray, Wawrinka, Delpo & Cilic rank in terms of potential when it comes to greatest spot in the tennis?","How would you rank Federer, Nadal, Djokovic, Murray, Wawrinka, Delpo and Cilic in terms of greatness achieved and potential spot in the history of sport?",1
1788,3557,3558,Why does noone see the diference between Endless and Infinite?,Hi Friends! My weight is 100 kg. How can I bring in 70-75 of my weight in 1 years?,0
1789,3559,3560,Which online coaching institute is best for CAT Preparation?,Is online coaching better than going for institutes like TIME and PT Education for CAT preparation?,0
1790,3561,3562,How can I travel with low budget?,How do I travel with a low budget?,1
1791,3563,3564,What doe Quora mean?,What does the name Quora exactly mean?,1
1792,3565,3566,How do I stop feeling insecure?,How do I stop feeling insecure about myself?,1
1793,3567,3568,"Why does Coke help my menstrual cramps, against all medical advice?",What's the best position to sit or lie in to alleviate menstrual cramps?,0
1794,3569,3570,"If I skip breakfast and lunch, and only have dinner and two cups of coffee in a whole day, will I lose weight?","If I chew and spit throughout the day, the only full meal I eat is dinner, and I work out, why am I not losing weight?",0
1795,3571,3572,How do I learn japanese in 2 months?,How did you learn Japanese?,0
1796,3573,3574,How often do you drink coffee (-based) drinks?,How often do you drink coffee?,1
1797,3575,3576,How do I delete my question from Quora?,How do I delete my own question from Quora?,1
1798,3577,3578,How do I deal with people who take advantage of my innocence?,Do discounts stack in Europe?,0
1799,3579,3580,What are some recommended US companies to invest in in 2014?,"In Canada, what is the best university for getting into a US investment banking company?",0
1800,3581,3582,Is death by hanging painful?,What happens to a person just after he is hanged to death?,0
1801,3583,3584,"Belgium: Which historians disagree with Churchill's literary treatment of the King of the Belgians, Leopold III, following his surrender to Germany during May 1940?",Why did Denmark surrender to Nazi Germany in just 3 hours?,0
1802,3585,3586,How do I use Spotify in India on Mac?,How do I use Spotify in India?,0
1803,3587,3588,What do people think of AngelList?,"What collusion occurs with AngelList, if any?",0
1804,3589,3590,Wine: What are the best wineries to visit in the Healdsburg area?,What are the best Healdsburg wineries?,1
1805,3591,3592,What's the most important moment in the whole history of humanity?,What are best moments of humanity in Chennai in Dec 2017 cyclone?,0
1806,3593,3594,Which is the best honeymoon destination in kerala?,Which are the best honeymoon locations in Kerala for summer honeymoon trip to Kerala?,1
1807,3595,3596,How do i lose weight?,How do I suck it up and lose weight?,1
1808,3597,3598,Which is the best iPhone 6 case?,What's the best iPhone 4 case?,0
1809,3599,3600,What is it like to work at Goldman Sachs in London?,What is it like working at Goldman Sachs?,0
1810,3601,3602,If I download MIUI 8 from the website then will I get further updates and will it root my phone. I have Redmi note 3?,"If I update an app on my android phone, will it add to the app's total downloads?",0
1811,3603,3604,Why did John Nash have schizophrenia?,Who are John Nash's children?,0
1812,3605,3606,Should I be afraid of my parents?,Can my parents be afraid of me doing better than them?,0
1813,3607,3608,How do I prepare for MBA CET 2017 starting from November?,Can I get CSE at IITB 2017 by starting preparation from June 2015?,0
1814,3609,3610,Did all Waffen SS commit crimes against humanity?,What is diagtrack what is diag track?,0
1815,3611,3612,How do I prepare for an interview for an internship as a software developer at Jack in the Box?,What should I expect in a Software Engineer interview at Google and how should I prepare?,0
1816,3613,3614,Why do people write long answers on Quora?,"Why do people on Quora write very long answers, even if the questions doesn't necessarily need that?",1
1817,3615,3616,What is the relation between Snoop Dogg and Wiz Khalifa?,How is Snoop Dogg related to Wiz Khalifa?,1
1818,3617,3618,What is the balanced chemical equation for the formation of soap scum?,Which is a good startup company for Development in Delhi?,0
